      1024 ,        8 ,    11.8299 ,  83.59
      1024 ,       32 ,    12.3314 ,  84.96
      1024 ,       64 ,    12.4417 ,  83.30
      1024 ,      128 ,     8.9037 ,  85.25
      1024 ,      256 ,     8.8815 ,  83.11
      4096 ,        8 ,    44.1684 ,  83.81
      4096 ,       32 ,    39.9750 ,  84.67
      4096 ,       64 ,    49.2687 ,  83.40
      4096 ,      128 ,    29.4388 ,  84.03
      4096 ,      256 ,    41.5854 ,  83.96
     16384 ,        8 ,   135.8450 ,  83.78
     16384 ,       32 ,   130.3131 ,  83.81
     16384 ,       64 ,    69.1238 ,  84.23
     16384 ,      128 ,   144.2660 ,  83.75
     16384 ,      256 ,   177.5312 ,  84.04
     65536 ,        8 ,   469.1867 ,  83.70
     65536 ,       32 ,   625.3435 ,  83.87
     65536 ,       64 ,   606.6351 ,  83.72
     65536 ,      128 ,   528.5161 ,  83.77
     65536 ,      256 ,   522.4490 ,  83.94
    262144 ,        8 ,   811.1694 ,  83.78
    262144 ,       32 ,  1223.9653 ,  83.82
    262144 ,       64 ,  1585.4461 ,  83.80
    262144 ,      128 ,  2046.4652 ,  83.79
    262144 ,      256 ,  1597.1924 ,  83.90
   1048576 ,        8 ,  1077.9657 ,  83.76
   1048576 ,       32 ,  1431.9801 ,  83.83
   1048576 ,      128 ,  4324.6666 ,  83.85
   1048576 ,      256 ,  4916.4289 ,  83.83
   2097152 ,        8 ,  1161.6357 ,  83.79
   2097152 ,       32 ,  2208.9794 ,  83.79
   2097152 ,      128 ,  5981.7454 ,  83.77
   2097152 ,      256 ,  5763.4334 ,  83.82
