5000 0.08
10000 0.34
15000 0.53
20000 0.94
25000 1.58
30000 1.96
40000 3.14
50000 4.5

5000 0.03
10000 0.13
15000 0.16
20000 0.35
25000 0.54
30000 0.79
40000 1.11
50000 1.99
