Threads,    Size,  MegaMults,    SIMDMMs, MMSpeedup,   MegaSums,    SIMDMSs, MSSpeedup
      1, 0.0010,     369.46,    1477.84,      3.99,     368.72,    1450.54,   3.92
      1, 0.0078,     386.96,    1812.51,      4.90,     393.63,    1842.89,   4.98
      1, 0.0312,     388.77,    1845.40,      4.99,     396.80,    2210.35,   5.97
      1, 0.0625,     388.56,    2103.38,      5.68,     397.89,    1890.87,   5.11
      1, 0.1250,     387.21,    1899.01,      5.13,     397.81,    1896.63,   5.13
      1, 0.2500,     388.38,    1907.62,      5.16,     397.75,    1906.50,   5.15
      1, 0.5000,     384.95,    1884.96,      5.09,     396.20,    1906.32,   5.15
      1, 1.0000,     383.10,    1762.75,      4.76,     394.86,    1867.75,   5.05
      1, 2.0000,     377.88,    1322.74,      3.57,     394.16,    1761.65,   4.76
      1, 4.0000,     372.87,    1024.92,      2.77,     390.85,    1378.32,   3.73
      1, 8.0000,     370.85,     931.43,      2.52,     389.59,    1200.67,   3.25
      2, 0.0010,     555.03,    1177.21,      3.18,     567.64,    1221.68,   3.30
      2, 0.0078,     734.97,    2972.66,      8.03,     757.17,    3015.46,   8.15
      2, 0.0312,     769.06,    3510.01,      9.49,     786.10,    3562.97,   9.63
      2, 0.0625,     773.67,    3947.09,     10.67,     791.39,    3685.58,   9.96
      2, 0.1250,     776.64,    3665.42,      9.91,     794.30,    3732.20,  10.09
      2, 0.2500,     774.33,    3778.54,     10.21,     794.53,    3848.60,  10.40
      2, 0.5000,     776.99,    3792.62,     10.25,     795.40,    3789.05,  10.24
      2, 1.0000,     771.78,    3732.17,     10.09,     791.97,    3822.23,  10.33
      2, 2.0000,     758.56,    2722.45,      7.36,     790.19,    3615.14,   9.77
      2, 4.0000,     745.72,    2049.70,      5.54,     782.39,    2785.46,   7.53
      2, 8.0000,     741.26,    1834.20,      4.96,     778.55,    2385.89,   6.45
      4, 0.0010,     697.22,     986.99,      2.67,     703.01,    1085.40,   2.93
      4, 0.0078,    1357.21,    4301.27,     11.63,    1391.57,    4487.80,  12.13
      4, 0.0312,    1496.13,    6293.04,     17.01,    1531.69,    6379.76,  17.24
      4, 0.0625,    1525.41,    6804.83,     18.39,    1561.29,    6910.41,  18.68
      4, 0.1250,    1539.29,    7120.90,     19.25,    1577.63,    7235.12,  19.55
      4, 0.2500,    1548.99,    7282.48,     19.68,    1585.82,    7415.63,  20.04
      4, 0.5000,    1551.15,    7495.71,     20.26,    1587.20,    7480.27,  20.22
      4, 1.0000,    1549.49,    7464.99,     20.18,    1588.94,    7556.78,  20.42
      4, 2.0000,    1503.02,    5377.96,     14.54,    1570.75,    7384.43,  19.96
      4, 4.0000,    1477.78,    3921.42,     10.60,    1562.50,    5468.82,  14.78
      4, 8.0000,    1458.13,    3449.87,      9.32,    1540.38,    4605.27,  12.45
